City,Year,AQI,CO2_Emissions,Green_Cover_Loss,Water_Consumption,Energy_Usage,Waste_Generated,Recycling_Rate,Population_Growth,Industrial_Expansion
Delhi,2007,154,44.88,1.92,172.45,5628.86,0.87,23.31,1.96,13.49
Sydney,2013,69,7.67,4.77,401.98,7724.03,1.45,82.95,2.86,2.44
Sydney,2010,64,36.58,0.81,330.35,6477.66,3.45,48.97,3.89,4.71
Sydney,2024,137,27.77,2.33,192.14,7452.37,0.99,78.08,1.9,1.64
Delhi,2013,247,11.85,4.46,424.28,5945.35,2.59,58.16,3.09,12.86
Los Angeles,2020,69,7.62,1.5,139.51,3799.12,2.01,71.12,2.13,13.31
Beijing,2009,76,31.96,0.13,81.63,8455.84,0.96,44.08,3.07,12.72
Houston,2014,281,8.08,3.92,464.54,3563.3,2.63,77.76,4.7,12.54
Beijing,2014,277,28.96,0.94,264.89,5860.67,2.45,89.18,2.14,5.42
New York,2014,140,35.6,0.96,68.55,6038.81,2.36,34.35,1.57,9.13
London,2003,143,6.55,2.27,367.35,2670.52,1.78,54.75,2.17,3.32
Phoenix,2018,55,21.86,1.35,80.62,3983.1,2.02,30.13,4.36,14.06
Beijing,2011,148,16.3,4.68,206.43,7182.63,0.53,45.23,2.87,5.8
New York,2002,278,9.34,3.05,117.15,7080.82,3.18,63.7,2.98,9.18
London,2012,83,37.84,3.11,429.48,9080.49,1.14,53.18,2.95,9.03
Los Angeles,2017,244,44.91,3.08,264.38,3197.36,0.79,20.82,1.23,6.5
Los Angeles,2008,66,49.06,3.3,81.59,9004.36,3.04,40.03,0.7,2.48
Phoenix,2008,78,43.28,4.77,184.19,2760.23,1.41,20.95,2.4,9.78
Chicago,2024,179,49.07,2.81,145.01,7213.65,1.64,38.8,2.04,4.29
Tokyo,2018,189,31.83,4.89,237.23,5204.41,2.17,21.85,3.94,4.72
Houston,2015,265,49.98,0.79,338.32,9061.63,2.93,16.81,3.4,4.32
Beijing,2021,177,22.02,0.87,80.76,4980.96,0.92,52.77,1.79,11.38
London,2007,195,36.21,1.89,96.64,3895.84,0.87,58.58,1.8,4.97
London,2013,154,7.5,1.25,387.04,1537.78,1.18,53.47,2.56,10.04
Delhi,2021,101,43.91,1.78,142.44,4890.54,0.64,75.58,3.52,4.74
Sydney,2003,113,20.31,2.89,169.25,9379.74,1.65,33.11,4.53,4.56
Tokyo,2004,255,18.39,4.46,477.18,9415.55,3.46,45.2,1.98,11.39
Chicago,2021,247,35.96,3.42,374.58,2350.87,0.9,32.88,3.97,3.32
London,2007,212,29.74,4.36,494.51,1959.5,0.81,20.94,2.79,8.63
Sydney,2019,100,14.8,1.02,335.11,4088.09,2.03,42.79,2.28,8.05
Los Angeles,2013,52,13.62,0.26,204.45,6646.12,2.67,68.77,1.26,5.46
Chicago,2023,61,26.02,3.0,339.76,7521.85,0.84,46.15,4.89,14.28
New York,2002,51,9.04,1.35,476.74,8841.83,2.98,39.82,2.69,13.24
Chicago,2003,187,46.69,1.46,452.86,6205.0,0.96,39.09,3.47,5.45
London,2016,252,29.04,1.91,370.95,2106.74,1.13,63.99,4.15,5.43
Delhi,2000,292,8.95,2.14,480.56,3667.16,3.05,76.41,3.75,8.72
New York,2001,126,10.22,4.06,81.14,2866.41,3.46,48.02,0.56,9.38
Tokyo,2006,185,25.33,0.74,380.8,5646.75,2.0,20.59,3.45,9.64
Delhi,2011,253,40.8,4.05,376.4,4236.01,2.79,28.71,3.17,11.38
New York,2017,211,9.89,1.37,266.99,1352.75,2.26,65.68,3.98,1.64
Delhi,2000,98,29.85,1.13,67.44,2155.27,2.14,60.04,1.54,7.69
Beijing,2011,252,49.26,1.69,411.62,7507.99,1.67,68.78,2.77,5.0
Phoenix,2020,300,47.3,2.49,449.94,9554.74,3.2,38.99,2.51,8.74
Sydney,2024,53,12.27,4.22,358.7,8365.83,0.55,37.83,3.83,3.28
New York,2023,249,38.55,2.45,124.54,9390.04,2.39,60.25,2.73,13.63
Chicago,2016,106,19.34,0.75,103.46,6820.88,2.16,56.88,0.79,9.66
Sydney,2023,174,14.66,1.93,457.6,6174.08,3.49,35.26,4.43,1.12
Los Angeles,2024,137,18.14,4.39,324.09,8845.64,2.02,13.35,1.07,1.58
Chicago,2005,298,12.14,1.99,138.87,9972.07,1.05,84.14,2.65,11.29
London,2021,143,16.38,2.57,449.65,8587.58,0.98,66.04,2.44,1.18
New York,2024,191,35.95,1.62,429.55,7328.82,2.14,64.68,3.29,1.29
New York,2015,61,20.57,0.6,296.31,9192.73,1.89,13.21,3.41,4.08
Los Angeles,2017,54,7.22,1.72,379.46,7621.44,2.23,72.08,2.08,14.48
Sydney,2004,290,12.37,2.82,315.69,5282.15,0.97,51.25,0.93,1.08
Tokyo,2015,194,42.63,4.31,441.42,9974.96,2.91,72.6,2.41,3.52
New York,2023,169,48.92,2.25,385.93,2506.78,0.56,78.06,4.59,5.14
London,2024,77,11.57,1.79,479.16,9453.27,3.19,49.64,3.03,3.01
Houston,2002,229,26.09,1.69,183.42,9551.01,2.35,88.31,3.92,8.98
Delhi,2022,226,49.17,4.93,238.56,6232.04,1.88,70.7,2.41,4.62
Delhi,2011,268,41.8,0.41,93.81,9567.27,3.3,84.07,1.13,5.58
Beijing,2016,120,46.0,2.47,384.13,3177.04,3.12,82.43,1.86,1.92
Chicago,2014,73,22.0,2.99,327.1,5972.41,3.36,28.67,1.34,13.83
Sydney,2018,195,9.47,2.59,319.97,6926.4,3.13,82.42,1.95,8.6
Tokyo,2022,101,24.64,1.44,199.93,2481.57,1.21,68.4,1.06,10.78
Beijing,2014,148,49.64,2.16,119.42,5907.06,3.37,85.43,1.02,10.88
Chicago,2008,212,9.47,4.6,308.23,3694.36,1.21,59.74,2.36,7.24
London,2022,198,48.99,3.73,401.27,5262.73,3.0,43.77,1.02,5.0
London,2001,274,15.11,1.54,99.77,9223.7,2.8,35.24,0.6,2.19
Delhi,2003,296,26.11,0.59,352.38,5727.77,0.66,33.98,2.74,13.64
Tokyo,2016,176,37.68,0.23,117.51,7010.12,2.05,14.8,0.86,12.43
Houston,2018,234,48.62,1.19,312.02,4859.3,2.13,65.87,3.14,4.68
Beijing,2000,93,41.67,3.79,195.76,5392.8,3.01,75.46,2.25,2.63
Phoenix,2018,134,17.0,4.6,109.42,5537.54,1.49,77.61,3.6,5.48
New York,2015,264,22.53,2.43,319.09,9059.81,1.1,58.34,3.38,1.06
Los Angeles,2008,198,8.25,4.29,83.88,7659.82,1.72,47.66,0.87,5.62
New York,2000,210,11.83,2.96,165.59,8982.86,2.21,38.23,4.73,4.45
London,2019,205,7.21,1.24,209.35,7012.03,1.8,73.03,1.67,4.8
Houston,2015,228,23.29,0.56,173.03,8573.1,1.33,74.18,3.1,9.57
Los Angeles,2012,234,44.26,0.66,185.76,2653.91,2.7,69.4,0.95,5.93
Delhi,2008,262,13.73,4.2,470.28,9731.4,2.18,66.04,2.71,3.06
Houston,2002,254,25.77,1.99,100.54,7760.34,3.09,38.1,1.85,3.37
Chicago,2018,132,39.75,2.71,392.44,5638.94,0.78,65.65,4.62,2.54
Delhi,2001,51,17.24,2.12,428.07,3872.52,1.95,60.88,4.64,2.4
Phoenix,2002,185,32.76,4.2,270.67,9819.14,2.95,59.29,4.85,11.99
London,2000,216,42.01,3.79,146.53,9685.19,1.73,61.85,0.54,14.74
Chicago,2023,76,45.6,0.39,169.1,1591.01,3.0,31.59,1.87,12.45
Houston,2005,192,20.32,3.55,474.65,4436.83,3.17,49.8,3.14,14.92
Beijing,2005,252,39.49,0.29,360.14,5579.63,2.05,27.5,2.75,3.49
Phoenix,2013,163,14.29,0.47,481.29,4225.51,3.17,84.89,4.63,4.56
Houston,2001,186,35.95,4.11,102.21,1781.84,2.14,11.55,4.06,5.26
Sydney,2013,116,49.23,4.0,268.87,7043.43,1.91,31.9,4.79,5.09
London,2000,188,30.89,3.27,453.97,7437.25,2.16,25.07,3.03,12.74
Phoenix,2007,125,40.1,2.36,156.29,6601.69,2.51,77.87,1.18,1.2
Chicago,2003,278,45.24,3.14,407.85,5008.39,1.06,81.58,3.17,3.06
Tokyo,2012,84,19.04,2.04,452.37,1735.43,3.48,33.88,2.85,2.71
Tokyo,2016,107,33.12,1.88,216.09,4989.26,2.79,72.71,3.97,12.7
Delhi,2016,293,49.6,1.85,264.28,3005.25,1.99,73.92,2.75,5.15
Phoenix,2016,147,33.03,3.83,285.46,8165.68,3.03,67.47,3.96,2.76
Beijing,2005,119,49.29,3.39,361.24,5703.19,1.25,77.36,1.1,11.65
Sydney,2024,166,6.57,2.07,195.35,9197.49,2.53,71.37,3.02,1.62
London,2011,103,20.58,1.88,125.91,7168.77,2.77,82.57,3.23,6.35
Beijing,2005,118,47.86,1.42,481.4,5591.84,2.53,14.76,1.94,7.82
Los Angeles,2000,75,6.57,0.2,472.93,1917.94,2.85,21.03,2.63,6.75
Tokyo,2024,113,48.37,4.51,131.24,7326.21,3.2,40.72,4.32,12.94
London,2007,255,17.23,2.68,422.4,9906.53,1.81,83.39,2.81,7.42
Houston,2018,50,26.75,2.72,239.39,5833.43,0.69,76.69,4.17,13.34
Tokyo,2002,140,49.97,2.58,53.29,9777.94,1.07,21.43,4.21,13.4
New York,2000,196,47.85,0.44,481.24,7419.53,1.76,52.13,2.47,2.25
Phoenix,2024,109,17.47,4.75,415.38,2084.47,3.42,12.49,4.54,12.71
Tokyo,2014,184,43.65,4.71,406.75,7183.26,2.35,17.52,3.24,12.41
Houston,2011,145,32.81,2.94,110.0,3732.98,1.37,54.65,4.28,4.6
New York,2014,118,49.15,3.87,495.75,4666.62,1.75,41.84,1.72,1.53
London,2017,79,45.05,3.43,358.47,4632.13,0.77,35.11,1.45,1.54
Houston,2013,82,17.51,2.63,456.7,1693.68,0.62,81.74,1.41,11.98
Tokyo,2016,231,8.44,2.85,495.79,7018.53,0.6,65.93,3.71,2.77
Beijing,2016,287,31.63,2.82,434.65,3769.89,2.57,29.27,1.74,13.78
Sydney,2012,236,46.11,0.82,138.52,9076.31,1.72,47.49,4.96,14.77
Los Angeles,2019,132,30.04,4.52,368.89,3579.14,2.35,31.06,2.59,1.77
Los Angeles,2011,85,28.67,2.95,166.59,9345.99,0.83,21.7,3.11,3.44
Chicago,2012,168,43.36,0.95,54.37,6993.07,2.34,82.94,1.36,11.1
Chicago,2008,250,25.1,4.95,151.94,8690.02,2.53,47.75,3.46,2.36
Beijing,2011,199,8.86,3.48,268.32,2675.05,1.92,75.43,3.58,1.69
London,2020,221,41.23,0.74,439.84,8408.99,3.01,23.3,4.98,13.87
Sydney,2023,254,6.88,1.93,148.21,9678.68,0.85,45.67,3.02,5.5
Phoenix,2023,187,37.2,0.75,55.62,3682.33,1.63,31.78,2.23,14.97
New York,2016,118,7.33,3.66,326.61,4412.9,2.81,87.36,1.47,6.02
New York,2001,56,28.92,1.04,153.88,7905.67,3.15,25.72,3.77,11.74
Tokyo,2010,50,10.89,1.63,351.63,2126.9,1.27,68.43,1.47,2.56
Beijing,2011,92,48.07,1.64,364.53,7657.67,1.82,69.75,3.42,4.25
London,2013,273,33.16,3.71,343.74,1495.08,1.43,67.4,1.31,9.4
Tokyo,2004,285,34.64,0.71,497.54,5465.89,3.19,23.74,2.02,9.14
Los Angeles,2003,230,35.68,3.34,309.62,3337.8,2.83,32.47,1.21,14.62
Houston,2013,96,19.88,3.66,186.59,8746.72,3.11,47.63,3.18,5.51
Sydney,2008,264,43.38,4.97,60.37,5451.39,0.9,63.59,0.6,12.95
Tokyo,2000,80,33.45,2.89,234.23,5621.49,2.99,52.95,0.62,13.66
Houston,2001,156,30.28,1.92,347.12,1090.16,0.51,36.1,3.26,14.06
Beijing,2001,87,20.35,0.39,332.35,2471.11,1.63,30.88,1.22,14.8
Los Angeles,2005,155,11.13,4.27,226.15,7900.42,1.72,68.15,2.11,8.24
Sydney,2006,139,29.19,3.46,162.04,7501.79,1.47,17.26,3.27,8.71
Phoenix,2005,239,12.13,0.34,181.06,3910.99,3.34,76.88,4.09,1.07
Chicago,2017,216,14.15,2.98,112.81,2136.11,1.83,79.77,4.58,1.9
New York,2011,122,33.95,0.42,370.9,3361.74,0.78,60.14,4.15,10.96
Sydney,2011,276,48.68,4.41,164.06,7255.52,2.0,88.08,2.87,9.95
Sydney,2018,118,13.35,0.48,167.89,5516.2,1.46,50.58,1.21,7.96
Beijing,2006,266,37.84,4.58,413.04,4629.25,1.52,13.51,4.19,6.9
Tokyo,2002,68,47.31,1.8,90.12,9282.34,3.17,18.63,2.83,2.22
New York,2004,125,32.44,1.67,499.04,8285.7,0.7,67.99,0.52,2.22
Delhi,2014,195,20.94,4.51,226.01,5587.94,3.03,35.54,2.73,3.89
Los Angeles,2008,253,27.36,2.22,87.11,4227.16,1.26,44.14,3.05,6.26
Delhi,2008,61,9.15,1.83,309.09,9052.54,2.83,82.51,2.5,2.85
Tokyo,2024,134,27.15,4.66,147.12,1389.31,0.57,67.24,4.43,7.64
London,2001,259,5.42,3.17,333.76,4144.16,1.23,42.31,4.18,14.72
Beijing,2019,117,13.34,3.73,317.41,1577.0,2.97,16.4,4.07,12.15
Beijing,2007,120,17.76,1.83,163.12,4171.83,2.6,80.68,3.04,6.45
London,2004,99,31.77,1.86,439.42,3685.14,3.24,24.12,4.89,12.0
New York,2003,206,42.86,1.51,203.3,5796.15,1.09,86.9,1.73,11.9
Phoenix,2001,116,10.64,4.33,174.63,6960.68,2.01,19.84,2.82,13.1
London,2022,130,38.03,4.76,184.25,6346.83,1.55,88.0,2.85,5.9
Los Angeles,2011,274,19.78,3.47,240.15,9749.61,1.11,40.91,1.18,14.64
Sydney,2004,205,30.44,4.96,258.43,7402.21,2.98,13.2,2.81,6.86
Houston,2017,195,40.91,0.89,94.75,5823.47,3.49,59.14,2.0,3.98
Chicago,2017,240,34.18,1.18,131.64,8977.85,1.31,75.2,3.16,14.86
Sydney,2021,245,22.62,3.79,277.27,9481.23,0.91,88.51,0.63,11.18
Sydney,2022,75,43.36,0.68,80.56,1903.66,1.13,43.71,1.52,6.07
Tokyo,2013,116,7.33,3.17,117.56,3982.03,1.78,29.19,0.71,5.04
Chicago,2017,164,48.68,1.32,146.66,7663.1,3.31,52.63,4.83,7.54
Tokyo,2000,205,40.54,4.6,339.35,3769.04,2.21,49.79,1.92,1.96
Tokyo,2003,128,11.9,3.69,371.0,1566.74,2.79,76.94,2.09,7.88
New York,2016,134,6.11,0.14,427.45,7693.66,1.38,58.66,2.06,9.67
London,2016,221,41.38,0.47,361.4,1502.08,3.06,57.31,2.58,3.48
Delhi,2015,110,10.17,4.2,69.16,3560.7,1.88,73.52,4.83,11.29
Beijing,2004,237,17.61,2.93,184.79,3176.55,1.98,59.35,4.17,1.08
New York,2019,293,11.56,3.19,123.16,9750.03,0.55,50.95,0.85,10.21
New York,2023,161,17.19,1.73,391.57,4284.11,0.93,58.37,4.28,2.41
New York,2019,299,17.4,3.91,310.58,6604.76,0.88,53.07,1.28,14.7
Houston,2007,275,46.93,2.13,224.12,5945.37,0.6,76.88,2.46,12.55
Houston,2023,122,45.22,4.89,377.89,5044.57,0.84,15.4,2.4,3.12
Houston,2024,141,48.2,0.3,313.25,9863.45,1.28,86.68,2.34,10.1
Houston,2024,266,47.56,3.53,355.63,6411.98,1.28,79.27,4.39,14.2
Sydney,2016,108,19.74,0.66,118.75,9820.19,2.79,20.46,4.13,5.23
Houston,2010,252,29.5,2.75,152.92,6068.05,1.89,66.37,3.32,13.81
Sydney,2011,262,11.16,3.11,299.05,9448.9,2.73,87.32,0.93,9.92
Houston,2005,59,22.76,1.05,431.96,8930.7,1.85,84.97,1.5,11.51
Delhi,2006,171,5.24,2.22,362.92,3002.9,1.95,46.27,1.87,4.57
Los Angeles,2020,211,34.45,4.78,114.27,5766.67,1.52,37.93,4.19,14.74
Delhi,2024,55,15.92,1.58,169.73,7635.2,1.59,64.86,1.19,14.62
Phoenix,2010,74,8.65,3.82,471.71,7864.36,2.64,21.43,4.51,14.21
Chicago,2010,53,30.67,0.91,119.1,3032.77,3.04,34.15,1.79,12.16
Delhi,2018,60,35.44,1.31,193.95,5956.35,2.23,73.04,1.65,11.49
London,2015,105,29.35,3.67,317.77,5946.59,0.91,10.2,3.55,9.79
Houston,2000,269,6.48,0.93,267.36,9569.65,0.88,19.0,0.81,10.65
Sydney,2017,116,43.69,1.2,444.14,2610.78,0.8,41.33,3.02,14.88
Houston,2002,183,16.34,0.78,236.2,8923.23,2.7,27.45,3.76,9.18
Los Angeles,2001,264,21.41,3.34,380.27,1768.8,2.02,64.18,4.64,6.75
Tokyo,2015,177,34.84,0.91,224.39,4120.4,3.14,52.88,3.61,10.77
London,2017,260,14.54,4.92,420.28,7947.46,2.11,64.47,2.74,2.64
Phoenix,2008,62,45.89,1.57,51.24,3445.72,0.7,86.25,3.92,13.31
Delhi,2016,151,41.21,3.54,227.64,7719.45,2.93,38.46,1.71,12.11
New York,2006,226,9.73,4.37,493.66,4277.11,3.35,63.57,4.9,12.25
Los Angeles,2017,265,31.12,2.48,212.7,3877.23,3.32,82.28,4.21,12.23
Chicago,2013,68,25.16,4.16,449.39,9366.05,1.86,12.78,3.82,7.71
New York,2007,262,49.43,0.99,402.31,8476.3,3.14,51.23,1.69,6.7
Los Angeles,2017,126,14.39,4.07,98.78,7721.92,1.25,58.33,4.77,11.54
Tokyo,2001,85,25.08,2.59,282.83,8037.46,0.6,60.71,0.97,6.77
Phoenix,2022,99,17.16,4.09,294.13,7169.05,1.42,23.21,0.99,6.18
Los Angeles,2012,83,19.2,1.8,307.56,5107.03,2.85,68.23,1.84,8.69
Los Angeles,2018,170,46.23,4.7,499.54,6838.96,1.61,46.36,2.59,13.29
Houston,2005,114,26.01,3.19,169.59,1213.29,2.51,30.39,3.63,8.07
New York,2024,54,48.08,0.8,108.93,1650.16,2.55,65.91,3.31,12.88
London,2022,92,23.98,4.98,447.0,6384.63,3.48,60.77,4.11,8.71
Phoenix,2019,159,36.15,1.72,449.18,3489.12,3.47,56.27,4.04,3.14
Phoenix,2007,244,29.89,2.01,156.41,5519.21,2.77,41.09,0.69,3.15
Chicago,2020,87,30.86,2.87,359.21,5150.92,3.43,61.97,3.51,14.65
Los Angeles,2023,187,15.67,2.12,163.43,8678.39,2.34,48.23,0.68,2.27
Beijing,2006,192,8.65,1.03,347.44,6141.48,1.26,11.35,1.97,6.24
Delhi,2021,217,21.67,2.84,117.72,4202.05,1.75,16.53,4.52,13.63
Houston,2012,111,15.68,0.19,96.68,8157.04,2.78,18.07,0.71,12.32
Chicago,2015,141,29.32,0.86,192.37,5157.38,1.39,57.83,2.37,12.35
Los Angeles,2021,128,27.37,0.98,423.96,7744.84,1.23,33.26,1.61,5.09
Los Angeles,2014,191,16.88,2.71,260.38,2422.13,1.72,17.88,4.56,10.07
London,2011,275,27.2,1.73,125.82,4348.9,1.56,43.16,3.04,4.81
Los Angeles,2022,130,15.15,4.05,59.99,7030.84,1.42,48.09,1.69,9.13
New York,2019,76,31.84,3.23,273.21,7511.41,2.95,52.64,1.35,12.87
Houston,2022,134,26.16,1.43,358.72,6418.21,1.24,73.31,3.54,6.17
Delhi,2011,280,18.59,0.9,228.74,7532.52,1.26,26.8,3.27,14.55
Tokyo,2012,217,40.91,0.61,189.65,1590.86,3.05,46.36,3.71,5.46
New York,2011,255,42.71,0.74,161.63,9177.17,2.85,32.03,1.86,9.69
London,2012,125,42.79,3.98,435.03,3181.03,2.6,53.35,2.36,5.61
Houston,2024,94,44.26,4.74,493.09,5441.26,1.85,27.06,1.19,3.08
Sydney,2001,152,36.36,0.87,57.14,9195.58,1.71,16.3,2.13,14.39
Los Angeles,2013,292,9.09,4.85,214.02,2628.66,0.67,12.68,4.44,14.43
Chicago,2009,131,14.79,1.03,488.39,9361.68,2.49,31.98,2.12,4.6
Beijing,2016,191,22.29,2.03,306.97,2989.6,2.67,61.61,2.84,6.14
Sydney,2005,225,28.14,3.51,274.09,7212.01,1.85,48.7,4.07,14.94
New York,2008,293,32.82,1.38,387.44,7144.47,1.88,22.09,0.82,3.92
Sydney,2006,257,19.83,3.15,106.99,8840.03,0.67,59.88,0.98,2.58
Beijing,2013,81,32.36,2.24,95.9,7551.83,0.81,25.73,3.28,9.91
Tokyo,2022,143,48.45,3.25,269.02,2879.1,2.3,24.5,2.89,3.71
Beijing,2021,232,28.11,1.15,361.55,1586.67,3.02,56.68,1.99,3.85
Los Angeles,2001,194,43.55,4.34,229.1,7412.28,3.16,57.67,3.68,12.47
London,2007,299,13.27,1.76,213.08,2669.97,2.08,20.05,2.8,8.97
Delhi,2015,262,45.65,0.17,310.15,7069.04,1.54,24.62,2.26,7.87
Beijing,2002,267,42.41,1.59,488.49,5789.63,2.27,67.27,4.06,1.39
Phoenix,2023,291,46.95,1.9,360.86,4373.96,1.13,52.55,0.92,11.34
Sydney,2024,50,30.37,4.83,282.64,3668.76,1.86,80.97,3.27,9.85
London,2010,93,36.84,4.51,421.73,7826.99,2.18,25.95,4.03,4.7
Phoenix,2007,92,44.84,0.97,210.63,1206.5,3.24,53.94,3.58,14.92
New York,2007,109,6.39,1.51,405.94,2673.33,2.04,16.97,1.08,6.77
Sydney,2001,283,46.51,3.5,419.6,3379.55,3.39,27.16,1.97,1.35
Phoenix,2012,229,27.6,0.82,296.95,7984.81,1.01,89.78,4.85,11.89
Houston,2017,187,15.84,3.15,289.98,8283.82,3.33,26.28,3.33,10.88
Sydney,2011,190,23.08,1.92,162.59,6966.21,1.21,35.31,1.67,9.58
London,2010,220,5.3,0.11,361.89,3807.3,1.56,78.64,3.1,8.7
Beijing,2021,86,17.04,3.95,474.4,6283.18,0.79,83.32,4.78,11.31
Phoenix,2023,261,33.08,2.67,358.59,5735.86,3.45,61.95,1.13,6.37
Beijing,2018,153,7.38,2.09,328.16,5886.29,1.11,34.96,0.51,14.9
Beijing,2010,123,14.02,3.14,126.75,3176.71,3.13,64.16,4.08,1.39
Los Angeles,2017,145,12.36,2.28,346.55,4418.35,3.42,18.37,2.38,7.55
Los Angeles,2016,240,20.22,1.78,223.72,5444.93,2.19,55.76,2.71,5.9
Chicago,2011,269,45.15,1.53,381.92,5537.84,2.66,76.08,1.25,11.37
Phoenix,2010,294,9.59,1.67,205.67,4122.06,0.58,87.32,4.49,10.87
Delhi,2007,101,27.62,4.74,293.8,7425.88,2.34,80.18,4.48,12.67
Sydney,2009,283,41.17,0.92,81.1,2179.66,0.85,84.72,1.1,11.02
Tokyo,2022,118,5.92,3.93,491.52,8909.24,2.41,74.82,0.55,5.69
Houston,2013,189,15.98,1.02,212.45,8697.37,2.76,12.65,4.5,7.21
Tokyo,2017,93,19.94,1.51,210.69,8858.72,2.79,83.3,4.43,4.19
Phoenix,2013,253,8.45,4.65,456.99,5722.7,0.98,32.76,3.85,1.8
Los Angeles,2014,95,28.99,3.1,393.05,5932.85,3.5,79.47,1.7,8.32
Phoenix,2020,71,18.21,4.14,478.83,3969.79,3.21,42.22,1.86,14.36
Delhi,2016,190,6.5,0.35,231.86,5266.69,2.77,62.48,0.86,1.49
New York,2012,148,21.72,0.34,61.7,6490.52,2.97,31.94,1.39,5.72
Phoenix,2022,150,42.83,3.48,463.11,6147.15,0.73,20.67,3.7,10.38
Los Angeles,2019,71,49.07,3.12,489.23,6214.44,1.64,48.72,2.49,9.16
Sydney,2019,227,37.04,0.5,98.54,2579.77,0.72,18.64,2.26,3.51
Phoenix,2006,273,24.08,1.75,324.34,2852.58,3.31,69.04,2.51,14.08
Tokyo,2015,122,23.49,1.72,339.15,6091.2,3.02,63.7,4.4,11.21
Tokyo,2017,105,42.69,3.15,98.31,5162.94,2.32,41.5,3.04,4.79
Delhi,2019,124,37.72,0.8,197.27,5171.32,1.72,41.18,1.64,12.65
Tokyo,2006,85,13.2,2.74,404.35,6307.46,2.83,65.94,1.21,9.62
Chicago,2015,116,34.25,2.79,299.07,7726.89,3.47,32.86,4.6,10.63
Sydney,2024,70,33.98,0.53,203.06,6683.09,1.24,59.15,4.95,6.39
Delhi,2014,69,39.56,4.17,281.74,2576.87,3.43,63.3,3.24,10.54
New York,2014,230,19.29,1.84,428.82,6997.18,1.05,87.06,1.46,1.47
London,2016,114,6.8,2.0,240.28,1242.53,3.23,68.7,4.96,5.46
Tokyo,2011,111,12.69,1.62,357.17,8154.58,2.07,69.19,2.95,3.73
Chicago,2012,141,26.8,0.74,163.22,8714.32,0.93,85.44,2.99,6.94
Houston,2021,244,47.2,3.47,119.82,9357.44,1.71,87.93,1.17,4.52
Houston,2018,165,34.85,1.45,320.43,6247.11,1.97,39.51,4.02,9.81
New York,2007,169,21.67,4.78,184.23,8932.58,3.14,11.94,2.36,1.55
New York,2019,113,14.5,3.43,351.48,9986.1,1.28,89.67,4.29,8.02
Beijing,2021,81,5.36,2.55,177.69,1902.53,3.11,26.9,2.24,9.91
Sydney,2006,59,39.33,3.14,237.63,4292.57,1.44,82.22,1.9,10.84
Chicago,2012,64,36.85,0.55,89.59,7278.96,2.29,17.98,2.57,10.39
Phoenix,2002,119,43.97,2.33,376.59,3397.65,3.2,28.99,2.72,12.53
Chicago,2003,299,10.7,0.77,241.59,9294.04,1.89,55.67,2.08,10.41
Tokyo,2007,183,43.45,2.02,287.38,4866.17,1.74,78.41,2.07,5.89
Delhi,2000,161,33.01,1.81,377.64,7690.89,2.57,30.46,3.61,12.51
Tokyo,2016,272,20.63,0.54,334.74,2914.74,0.59,10.03,3.16,10.46
Houston,2003,290,48.59,0.15,174.74,3416.83,2.43,36.98,1.51,6.52
Tokyo,2020,186,9.86,0.37,482.66,5675.51,1.62,66.24,1.33,7.14
Phoenix,2022,235,5.11,0.24,145.45,9246.3,2.24,54.49,2.26,6.78
Sydney,2001,273,11.74,2.36,488.81,7216.23,0.56,48.23,4.95,13.07
Delhi,2017,145,18.84,3.98,451.99,9561.81,3.45,64.8,2.33,7.57
Beijing,2003,275,19.32,3.08,60.34,4780.55,0.84,49.05,1.91,9.95
Houston,2003,217,32.94,4.52,73.95,6818.78,1.96,45.16,1.35,1.73
Tokyo,2010,136,21.11,4.99,216.65,3670.85,0.84,45.0,0.72,8.03
Los Angeles,2005,164,48.2,1.21,164.39,3166.49,2.09,58.56,1.06,7.82
Houston,2017,177,29.85,4.77,214.93,5182.01,2.48,30.94,3.89,10.79
Delhi,2010,290,25.8,3.43,99.74,7825.9,1.74,20.74,3.6,5.78
Los Angeles,2009,193,28.96,0.2,103.84,9053.28,2.26,39.74,2.97,10.46
Phoenix,2006,111,15.46,3.1,339.61,3038.86,1.8,14.0,3.22,12.51
Chicago,2011,258,40.63,0.21,81.18,5337.23,3.45,70.56,3.41,13.5
Los Angeles,2010,198,13.48,3.02,412.06,6840.65,1.22,13.04,2.45,2.77
Phoenix,2006,73,21.83,1.65,473.9,7895.05,3.47,27.47,2.25,14.45
Tokyo,2009,137,36.04,0.45,258.86,6139.32,2.26,11.17,0.94,14.16
Beijing,2021,69,23.66,2.32,221.64,1618.61,1.04,43.35,4.51,5.1
Chicago,2014,81,44.26,0.93,426.64,5358.04,3.03,42.49,1.73,7.1
Sydney,2002,183,6.55,4.57,111.44,9192.98,2.75,59.65,2.73,2.99
Houston,2019,50,46.44,3.59,109.09,7033.68,1.86,63.73,4.76,11.66
London,2008,121,23.79,2.99,157.66,9677.78,1.86,78.9,1.82,6.44
Sydney,2003,102,7.83,0.53,284.16,8479.84,2.61,27.87,2.0,1.85
New York,2010,239,30.1,3.76,231.56,6312.58,2.31,39.7,3.34,9.97
Delhi,2005,289,49.29,4.11,417.26,6941.08,3.08,77.6,3.41,12.41
Los Angeles,2020,250,19.18,0.15,123.59,4190.09,1.95,54.19,2.22,2.63
Houston,2004,167,17.94,3.72,476.6,8364.36,1.42,33.53,4.95,7.31
